,index,TotalByYearUSD,Group
4939,8529,203000,Group1
4959,8560,300000,Group1
4963,8567,266037,Group1
4975,8582,230000,Group1
4977,8585,217000,Group1
5011,8653,205000,Group1
5053,8720,204000,Group1
5060,8728,213635,Group1
5076,8755,288000,Group1
5133,8849,400000,Group1
5139,8858,324000,Group1
5144,8864,397919,Group1
5157,8886,341073,Group1
5161,8891,347553,Group1
5171,8908,230000,Group1
5193,8949,220000,Group1
5200,8958,210000,Group1
5210,8976,250000,Group1
5232,9032,400000,Group1
5238,9043,225000,Group1
5252,9073,650000,Group1
5263,9091,297000,Group1
5272,9108,240000,Group1
5332,9222,280000,Group1
5334,9226,300000,Group1
5336,9230,227382,Group1
5340,9240,250000,Group1
5341,9241,320000,Group1
5343,9245,250000,Group1
5357,9269,350000,Group1
5377,9296,230000,Group1
5416,9375,223213,Group1
5426,9395,324674,Group1
5456,9455,233000,Group1
5469,9470,230000,Group1
5478,9482,402649,Group1
5508,9530,220000,Group1
5515,9542,360000,Group1
5518,9546,225000,Group1
5553,9610,206413,Group1
5554,9612,250000,Group1
5558,9620,400000,Group1
5574,9639,300000,Group1
5595,9682,275000,Group1
5608,9704,250000,Group1
5615,9713,220000,Group1
5623,9731,474744,Group1
5629,9744,300000,Group1
5634,9758,203389,Group1
5639,9765,230000,Group1
5644,9774,238000,Group1
5663,9796,213000,Group1
5667,9802,295500,Group1
5669,9806,220000,Group1
5714,9886,217000,Group1
5717,9890,472154,Group1
5744,9947,350000,Group1
5770,9995,375000,Group1
5773,9999,677729,Group1
5780,10012,278316,Group1
5791,10032,250000,Group1
5795,10040,250000,Group1
5796,10041,317000,Group1
5813,10068,250000,Group1
5822,10091,255000,Group1
5832,10109,210000,Group1
5833,10110,240000,Group1
5868,10175,216850,Group1
5872,10185,225001,Group1
5892,10217,210000,Group1
5900,10232,225000,Group1
5905,10239,340000,Group1
5924,10263,250000,Group1
5926,10266,240000,Group1
5930,10273,330000,Group1
5951,10325,237372,Group1
5961,10344,230000,Group1
5977,10371,275000,Group1
5992,10389,500000,Group1
5997,10400,210000,Group1
6005,10413,300000,Group1
6017,10437,280000,Group1
6020,10442,592000,Group1
6033,10463,238000,Group1
6057,10501,211000,Group1
6063,10512,500000,Group1
6075,10527,520000,Group1
6076,10530,310000,Group1
6081,10538,326875,Group1
6095,10558,230000,Group1
6115,10591,400000,Group1
6131,10616,304500,Group1
6134,10621,210000,Group1
6147,10646,360789,Group1
6189,10733,247658,Group1
6200,10758,477503,Group1
6222,10805,284514,Group1
6257,10874,210000,Group1
6292,10931,230000,Group1
6306,10961,300000,Group1
6334,10999,290555,Group1
6347,11031,250000,Group1
6368,11069,510000,Group1
6369,11070,450000,Group1
6378,11089,205000,Group1
6387,11108,250000,Group1
6418,11157,207000,Group1
6431,11181,380000,Group1
6441,11197,483178,Group1
6443,11199,386543,Group1
6456,11219,220000,Group1
6520,11317,225000,Group1
6560,11387,203025,Group1
6567,11397,514067,Group1
6576,11413,695790,Group1
6635,11521,354331,Group1
6643,11539,500000,Group1
6649,11547,300000,Group1
6660,11568,210000,Group1
6664,11577,250000,Group1
6670,11590,583889,Group1
6674,11597,230000,Group1
6705,11655,295597,Group1
6726,11688,333123,Group1
6742,11719,327430,Group1
6774,11777,295597,Group1
6775,11779,500000,Group1
6787,11797,250000,Group1
6793,11805,579814,Group1
6867,11950,260000,Group1
6874,11961,320609,Group1
6902,12002,250000,Group1
6919,12025,388000,Group1
6929,12039,250000,Group1
6956,12080,400000,Group1
6985,12134,682147,Group1
7006,12169,491146,Group1
7023,12198,204644,Group1
7059,12261,356486,Group1
7067,12274,500000,Group1
7100,12333,380000,Group1
7121,12384,227382,Group1
7148,12426,320000,Group1
7153,12434,318335,Group1
7185,12487,250000,Group1
7261,12610,210329,Group1
7263,12613,217591,Group1
7321,12703,274135,Group1
7336,12722,584413,Group1
7415,12870,236742,Group1
7419,12874,698049,Group1
7423,12880,297618,Group1
7450,12932,281049,Group1
7452,12936,255681,Group1
7501,13009,375000,Group1
7566,13118,214331,Group1
7584,13146,350000,Group1
7593,13161,205722,Group1
7678,13302,491146,Group1
7682,13309,410652,Group1
7723,13382,463969,Group1
7737,13407,615534,Group1
7763,13445,290178,Group1
7770,13457,204644,Group1
7776,13466,350000,Group1
7782,13477,225483,Group1
7783,13478,545717,Group1
