,index,TotalByYearUSD,Group
3945,6835,78153,Group3
3946,6836,55387,Group3
3951,6844,100000,Group3
3958,6860,63299,Group3
3959,6861,70000,Group3
3960,6862,76173,Group3
3961,6866,95750,Group3
3962,6868,79584,Group3
3965,6874,84556,Group3
3970,6884,86000,Group3
3972,6888,77269,Group3
3974,6890,70489,Group3
3978,6896,59119,Group3
3979,6897,82500,Group3
3982,6903,55673,Group3
3983,6908,51000,Group3
3987,6915,74377,Group3
3989,6918,90800,Group3
3990,6919,62530,Group3
3993,6926,79584,Group3
3995,6928,54112,Group3
3999,6933,95000,Group3
4000,6934,71212,Group3
4004,6939,85000,Group3
4007,6943,85000,Group3
4008,6945,54444,Group3
4009,6946,66277,Group3
4020,6969,69755,Group3
4021,6972,72695,Group3
4022,6974,85227,Group3
4023,6976,59483,Group3
4024,6978,60256,Group3
4026,6981,68000,Group3
4028,6984,87337,Group3
4029,6985,92000,Group3
4030,6986,65000,Group3
4033,6989,79584,Group3
4036,6994,62377,Group3
4040,7000,78951,Group3
4042,7003,64000,Group3
4043,7006,81169,Group3
4044,7008,94697,Group3
4050,7019,79584,Group3
4055,7026,58324,Group3
4056,7027,86160,Group3
4057,7028,83080,Group3
4059,7031,59483,Group3
4063,7037,78447,Group3
4064,7041,94949,Group3
4066,7043,79124,Group3
4070,7051,64804,Group3
4072,7056,78888,Group3
4073,7057,90953,Group3
4082,7070,80000,Group3
4084,7073,96411,Group3
4088,7080,95000,Group3
4090,7084,56818,Group3
4091,7085,87723,Group3
4092,7091,98688,Group3
4093,7092,68055,Group3
4094,7093,79124,Group3
4095,7094,100000,Group3
4096,7098,93600,Group3
4099,7103,98911,Group3
4100,7105,64804,Group3
4106,7111,81169,Group3
4112,7122,68215,Group3
4115,7129,82426,Group3
4123,7142,52753,Group3
4125,7144,69800,Group3
4126,7145,61739,Group3
4127,7146,85000,Group3
4130,7150,71212,Group3
4133,7155,74404,Group3
4137,7163,65486,Group3
4139,7168,63082,Group3
4146,7181,64122,Group3
4149,7185,98905,Group3
4152,7188,94949,Group3
4154,7191,99415,Group3
4156,7193,72794,Group3
4162,7201,89816,Group3
4163,7202,54000,Group3
4165,7204,80000,Group3
4167,7206,62457,Group3
4168,7207,52102,Group3
4172,7212,60029,Group3
4174,7214,72762,Group3
4180,7220,52298,Group3
4185,7229,77830,Group3
4192,7241,91784,Group3
4196,7245,80000,Group3
4202,7253,78000,Group3
4204,7255,51600,Group3
4206,7259,100000,Group3
4209,7264,56082,Group3
4211,7266,75000,Group3
4215,7272,73899,Group3
4218,7278,62906,Group3
4220,7280,68993,Group3
4221,7281,86000,Group3
4222,7282,70346,Group3
4225,7285,79356,Group3
4232,7295,86000,Group3
4233,7297,75168,Group3
4237,7302,75036,Group3
4242,7312,100000,Group3
4245,7316,65813,Group3
4246,7318,73672,Group3
4249,7325,98000,Group3
4251,7328,100000,Group3
4256,7334,95000,Group3
4262,7343,68993,Group3
4263,7344,53804,Group3
4264,7345,68055,Group3
4267,7348,72800,Group3
4270,7354,62000,Group3
4274,7358,79584,Group3
4276,7364,62530,Group3
4279,7371,54714,Group3
4281,7374,85268,Group3
4283,7377,87723,Group3
4285,7382,81169,Group3
4292,7393,90000,Group3
4293,7397,68215,Group3
4300,7410,81313,Group3
4302,7412,54572,Group3
4304,7414,79124,Group3
4308,7419,68517,Group3
4309,7421,70000,Group3
4310,7423,54596,Group3
4312,7429,87933,Group3
4314,7432,98000,Group3
4316,7435,73899,Group3
4320,7440,95501,Group3
4321,7441,91731,Group3
4324,7445,55387,Group3
4327,7449,81858,Group3
4330,7453,68760,Group3
4333,7459,68101,Group3
4336,7466,68215,Group3
4338,7470,90953,Group3
4342,7477,72308,Group3
4345,7484,54572,Group3
4348,7490,57600,Group3
4351,7495,90740,Group3
4353,7497,54347,Group3
4357,7504,63667,Group3
4361,7510,70943,Group3
4362,7511,91315,Group3
4363,7513,85000,Group3
4368,7521,93227,Group3
4373,7535,75168,Group3
4382,7549,95000,Group3
4385,7553,78000,Group3
4386,7555,67255,Group3
4387,7556,98000,Group3
4394,7566,50024,Group3
4395,7567,68215,Group3
4398,7574,87723,Group3
4404,7584,85454,Group3
4405,7585,74401,Group3
4407,7588,61249,Group3
4408,7589,70777,Group3
4410,7592,72000,Group3
4411,7593,96726,Group3
4412,7595,57300,Group3
4421,7617,62400,Group3
4424,7621,52604,Group3
4425,7622,65911,Group3
4428,7625,56846,Group3
4430,7627,71428,Group3
4440,7640,65000,Group3
4447,7649,58000,Group3
4450,7653,87167,Group3
4451,7654,80000,Group3
4454,7665,56712,Group3
4455,7668,70000,Group3
4464,7680,69352,Group3
4468,7689,67987,Group3
4470,7693,63000,Group3
4472,7697,56969,Group3
4473,7699,52851,Group3
4475,7703,78000,Group3
4477,7707,85268,Group3
4478,7708,51948,Group3
4480,7713,56277,Group3
4481,7714,50009,Group3
4483,7717,80000,Group3
4488,7725,79584,Group3
4490,7727,62229,Group3
4493,7731,98000,Group3
4494,7732,54714,Group3
4496,7734,97402,Group3
4497,7735,90000,Group3
4498,7738,80000,Group3
4500,7741,72365,Group3
4511,7756,77310,Group3
4513,7758,79584,Group3
4514,7760,88679,Group3
4515,7762,54112,Group3
4518,7770,87933,Group3
4520,7778,68215,Group3
4521,7779,73899,Group3
4522,7780,79124,Group3
4527,7787,100000,Group3
4528,7788,63299,Group3
4529,7789,88000,Group3
4533,7796,80077,Group3
4534,7797,100000,Group3
4537,7802,62508,Group3
4538,7803,85000,Group3
4544,7811,61393,Group3
4546,7816,70000,Group3
4547,7817,87476,Group3
4548,7818,64539,Group3
4551,7821,94170,Group3
4558,7833,68215,Group3
4560,7836,50730,Group3
4561,7843,81858,Group3
4562,7846,100000,Group3
4564,7849,79000,Group3
4567,7854,88679,Group3
4568,7860,79139,Group3
4571,7866,82557,Group3
4576,7877,60000,Group3
4577,7878,95000,Group3
4578,7882,70489,Group3
4581,7885,55022,Group3
4583,7888,57300,Group3
4584,7889,73899,Group3
4589,7900,61743,Group3
4590,7901,53353,Group3
4594,7906,68215,Group3
4599,7914,90000,Group3
4602,7918,54112,Group3
4605,7923,69000,Group3
4608,7931,50479,Group3
4612,7939,83439,Group3
4614,7941,63667,Group3
4616,7946,67640,Group3
4617,7950,60975,Group3
4618,7951,85951,Group3
4622,7955,56846,Group3
4623,7957,74404,Group3
4627,7961,54003,Group3
4634,7973,93206,Group3
4639,7981,66277,Group3
4648,8005,58134,Group3
4649,8006,100000,Group3
4650,8007,55465,Group3
4656,8016,56846,Group3
4657,8018,75168,Group3
4658,8020,88679,Group3
4660,8027,55336,Group3
4662,8036,72000,Group3
4663,8037,73899,Group3
4667,8042,63667,Group3
4668,8043,85268,Group3
4671,8050,79584,Group3
4673,8052,80858,Group3
4680,8062,100000,Group3
4682,8066,70000,Group3
4685,8071,54000,Group3
4699,8097,84000,Group3
4704,8103,80000,Group3
4706,8105,89962,Group3
4707,8107,65813,Group3
4714,8121,70000,Group3
4719,8130,90953,Group3
4726,8148,52800,Group3
4728,8150,53535,Group3
4730,8152,71000,Group3
4733,8159,68182,Group3
4734,8161,96000,Group3
4736,8164,64935,Group3
4740,8174,51161,Group3
4746,8183,86160,Group3
4748,8190,75232,Group3
4750,8192,68215,Group3
4753,8198,74404,Group3
4756,8207,75168,Group3
4760,8224,80000,Group3
4763,8228,62000,Group3
4764,8229,88369,Group3
4769,8234,61393,Group3
4770,8237,70000,Group3
4771,8239,98000,Group3
4772,8240,81908,Group3
4773,8241,54572,Group3
4775,8248,60029,Group3
4779,8258,54714,Group3
4783,8265,59524,Group3
4786,8268,68215,Group3
4789,8272,71400,Group3
4790,8273,79584,Group3
4797,8288,75959,Group3
4800,8291,55000,Group3
4801,8292,70588,Group3
4806,8300,60000,Group3
4810,8307,80077,Group3
4811,8311,85268,Group3
4820,8329,94697,Group3
4836,8349,75000,Group3
4843,8363,87167,Group3
4844,8364,98000,Group3
4845,8365,79124,Group3
4847,8368,66288,Group3
4850,8373,87933,Group3
4852,8375,87036,Group3
4853,8376,65941,Group3
4857,8383,68529,Group3
4860,8388,54653,Group3
4863,8395,79584,Group3
4865,8397,95000,Group3
4867,8401,96000,Group3
4868,8402,94657,Group3
4869,8404,92500,Group3
4870,8405,90953,Group3
4871,8406,87000,Group3
4872,8407,59483,Group3
4874,8409,53022,Group3
4884,8423,76400,Group3
4888,8429,79584,Group3
4890,8431,100000,Group3
4895,8442,60000,Group3
4897,8445,85268,Group3
4900,8461,74404,Group3
4902,8465,64804,Group3
4909,8477,80000,Group3
4911,8479,50225,Group3
4914,8483,75000,Group3
4916,8485,82426,Group3
4917,8487,89285,Group3
4919,8494,69007,Group3
4923,8501,96000,Group3
4924,8502,56846,Group3
4926,8505,66341,Group3
4929,8513,75757,Group3
4932,8517,73405,Group3
4937,8524,56998,Group3
4941,8531,51696,Group3
4942,8532,85491,Group3
4944,8534,82071,Group3
4945,8538,79124,Group3
4946,8539,90000,Group3
4947,8540,93600,Group3
4948,8542,66464,Group3
4954,8549,82000,Group3
4957,8556,63000,Group3
4961,8562,55804,Group3
4967,8573,56818,Group3
4970,8576,94000,Group3
4973,8579,62758,Group3
4979,8589,98905,Group3
4980,8594,57097,Group3
4983,8602,73899,Group3
4984,8603,65754,Group3
4986,8606,82557,Group3
4987,8608,76881,Group3
4990,8617,73672,Group3
4991,8620,65000,Group3
4993,8622,94430,Group3
4995,8625,62530,Group3
4996,8627,99415,Group3
4999,8631,87933,Group3
5000,8634,100000,Group3
5004,8641,100000,Group3
5007,8646,94113,Group3
5014,8657,80000,Group3
5015,8658,67640,Group3
5018,8664,100000,Group3
5021,8671,100000,Group3
5022,8672,97000,Group3
5023,8673,90000,Group3
5025,8675,67640,Group3
5028,8678,87167,Group3
5029,8679,81858,Group3
5030,8683,56846,Group3
5031,8684,80000,Group3
5032,8685,88679,Group3
5034,8690,72000,Group3
5035,8691,95750,Group3
5037,8694,93000,Group3
5038,8695,56658,Group3
5043,8700,95000,Group3
5044,8702,78652,Group3
5047,8709,59119,Group3
5048,8710,61393,Group3
5051,8716,56998,Group3
5055,8723,90993,Group3
5059,8727,65000,Group3
5061,8730,78000,Group3
5064,8734,54714,Group3
5067,8737,80000,Group3
5068,8740,100000,Group3
5072,8747,89110,Group3
5074,8750,90000,Group3
5086,8767,60876,Group3
5087,8768,96000,Group3
5089,8770,79000,Group3
5092,8776,65000,Group3
5093,8777,100000,Group3
5094,8778,85000,Group3
5098,8782,93000,Group3
5107,8802,79124,Group3
5109,8804,66101,Group3
5112,8809,76997,Group3
5113,8812,90798,Group3
5117,8817,64289,Group3
5120,8821,81493,Group3
5141,8860,70000,Group3
5143,8862,94364,Group3
5155,8882,92080,Group3
5159,8889,65375,Group3
5163,8894,94949,Group3
5164,8895,58111,Group3
5165,8896,85454,Group3
5169,8904,52816,Group3
5170,8906,71607,Group3
5176,8919,75000,Group3
5178,8925,54572,Group3
5181,8932,71699,Group3
5194,8950,90993,Group3
5203,8962,90798,Group3
5207,8971,81169,Group3
5208,8974,80621,Group3
5211,8978,79584,Group3
5213,8980,58432,Group3
5215,8986,90000,Group3
5217,8991,61553,Group3
5219,8994,57000,Group3
5229,9025,59119,Group3
5231,9031,60876,Group3
5233,9033,89285,Group3
5234,9038,80000,Group3
5237,9042,65831,Group3
5248,9064,92000,Group3
5253,9074,50847,Group3
5256,9081,95000,Group3
5258,9084,100000,Group3
5259,9085,68215,Group3
5261,9089,80000,Group3
5270,9103,90962,Group3
5279,9126,79584,Group3
5281,9128,77310,Group3
5283,9136,77845,Group3
5287,9146,86000,Group3
5288,9151,59000,Group3
5291,9154,68393,Group3
5293,9158,62530,Group3
5296,9163,54000,Group3
5302,9173,51672,Group3
5307,9181,66910,Group3
5310,9185,66683,Group3
5315,9194,100000,Group3
5316,9195,69007,Group3
5317,9196,75000,Group3
5320,9200,55911,Group3
5323,9207,75959,Group3
5328,9216,72639,Group3
5337,9233,79903,Group3
5348,9255,86400,Group3
5352,9260,89225,Group3
5353,9261,57951,Group3
5358,9270,62530,Group3
5359,9271,60000,Group3
5361,9273,56846,Group3
5363,9276,57365,Group3
5364,9277,67453,Group3
5365,9280,81858,Group3
5369,9287,90953,Group3
5371,9290,52133,Group3
5379,9299,61743,Group3
5380,9302,65375,Group3
5382,9308,85491,Group3
5385,9314,70000,Group3
5386,9316,90000,Group3
5391,9321,90953,Group3
5392,9323,87000,Group3
5394,9326,55932,Group3
5397,9331,77724,Group3
5400,9340,100000,Group3
5401,9341,74404,Group3
5405,9348,55000,Group3
5406,9349,92080,Group3
5407,9352,81355,Group3
5410,9358,55205,Group3
5412,9361,95000,Group3
5414,9366,52133,Group3
5421,9384,54572,Group3
5422,9390,99202,Group3
5425,9393,66101,Group3
5427,9399,100000,Group3
5428,9403,65375,Group3
5429,9404,51000,Group3
5430,9405,95157,Group3
5431,9406,82000,Group3
5433,9412,65375,Group3
5435,9414,100000,Group3
5438,9417,70000,Group3
5442,9423,78000,Group3
5444,9429,93839,Group3
5445,9430,59343,Group3
5447,9436,75000,Group3
5448,9438,63000,Group3
5450,9441,79903,Group3
5453,9445,87893,Group3
5455,9450,54714,Group3
5459,9458,85000,Group3
5463,9463,94430,Group3
5465,9465,67554,Group3
5467,9467,90000,Group3
5471,9472,82289,Group3
5475,9478,100000,Group3
5481,9488,85000,Group3
5483,9490,69000,Group3
5485,9492,52000,Group3
5488,9498,87036,Group3
5493,9508,83080,Group3
5495,9511,100000,Group3
5497,9513,52222,Group3
5513,9535,98208,Group3
5517,9544,99000,Group3
5519,9549,76707,Group3
5522,9553,94430,Group3
5527,9565,58000,Group3
5528,9567,50639,Group3
5539,9587,65000,Group3
5540,9589,95577,Group3
5546,9597,54596,Group3
5552,9609,71212,Group3
5556,9618,80000,Group3
5559,9622,68000,Group3
5560,9623,60822,Group3
5564,9627,67255,Group3
5568,9632,60000,Group3
5569,9633,68215,Group3
5570,9634,66828,Group3
5575,9640,67255,Group3
5578,9645,66102,Group3
5582,9653,86888,Group3
5596,9683,59564,Group3
5600,9692,100000,Group3
5602,9694,92355,Group3
5603,9695,90726,Group3
5606,9700,52344,Group3
5614,9711,94000,Group3
5620,9722,75000,Group3
5621,9725,65166,Group3
5622,9726,52000,Group3
5624,9734,92500,Group3
5635,9759,98062,Group3
5636,9760,65620,Group3
5637,9763,71212,Group3
5642,9772,60029,Group3
5647,9777,68047,Group3
5648,9778,62469,Group3
5650,9780,74400,Group3
5653,9784,92000,Group3
5654,9785,68215,Group3
5655,9786,94113,Group3
5660,9791,75000,Group3
5661,9793,56969,Group3
5665,9799,55387,Group3
5671,9812,72639,Group3
5672,9813,55387,Group3
5674,9816,85000,Group3
5675,9819,72639,Group3
5676,9822,61553,Group3
5677,9823,65000,Group3
5679,9825,56658,Group3
5682,9828,90953,Group3
5683,9829,64062,Group3
5684,9832,100000,Group3
5685,9834,79903,Group3
5687,9839,85000,Group3
5692,9849,67554,Group3
5694,9851,88910,Group3
5698,9861,62324,Group3
5699,9862,80650,Group3
5700,9863,52997,Group3
5710,9882,98000,Group3
5713,9885,52800,Group3
5715,9887,100000,Group3
5723,9900,85000,Group3
5725,9903,66456,Group3
5726,9904,84552,Group3
5729,9907,70000,Group3
5734,9920,95000,Group3
5735,9923,90000,Group3
5738,9928,75000,Group3
5740,9933,67000,Group3
5742,9943,74092,Group3
5745,9948,80000,Group3
5748,9959,87167,Group3
5753,9968,95000,Group3
5754,9971,56477,Group3
5755,9973,90993,Group3
5759,9979,81000,Group3
5765,9990,78333,Group3
5766,9991,50473,Group3
5768,9993,91525,Group3
5777,10004,80000,Group3
5779,10009,60000,Group3
5783,10020,51431,Group3
5784,10021,67255,Group3
5785,10023,88949,Group3
5786,10024,90000,Group3
5787,10027,53638,Group3
5793,10036,83080,Group3
5794,10039,100000,Group3
5799,10045,64042,Group3
5803,10054,79124,Group3
5806,10058,66712,Group3
5812,10067,100000,Group3
5818,10085,65000,Group3
5826,10098,87167,Group3
5827,10099,80000,Group3
5836,10114,70000,Group3
5840,10118,50150,Group3
5850,10135,99750,Group3
5853,10141,86400,Group3
5855,10146,75232,Group3
5859,10153,93951,Group3
5864,10170,76962,Group3
5869,10177,50847,Group3
5873,10187,54212,Group3
5880,10196,68393,Group3
5884,10203,62400,Group3
5886,10205,80000,Group3
5890,10213,62758,Group3
5895,10223,61717,Group3
5899,10229,85903,Group3
5903,10237,75168,Group3
5904,10238,72639,Group3
5907,10241,75000,Group3
5909,10243,75168,Group3
5910,10244,95000,Group3
5913,10249,88000,Group3
5914,10252,82071,Group3
5915,10253,72680,Group3
5921,10259,90000,Group3
5932,10276,94680,Group3
5934,10283,92000,Group3
5939,10298,72000,Group3
5942,10306,83871,Group3
5946,10319,54259,Group3
5947,10321,87167,Group3
5952,10326,70000,Group3
5955,10336,67108,Group3
5956,10337,60134,Group3
5957,10338,73000,Group3
5963,10348,74039,Group3
5964,10349,72639,Group3
5965,10352,54118,Group3
5981,10375,73585,Group3
5986,10381,51249,Group3
5987,10382,94949,Group3
5991,10386,55000,Group3
6000,10405,71000,Group3
6001,10406,76960,Group3
6003,10408,72794,Group3
6011,10429,73000,Group3
6018,10438,78199,Group3
6019,10440,68442,Group3
6021,10443,73864,Group3
6024,10446,79124,Group3
6025,10447,80000,Group3
6027,10451,64424,Group3
6036,10468,73899,Group3
6043,10478,65000,Group3
6051,10489,54479,Group3
6052,10490,72000,Group3
6055,10499,58389,Group3
6068,10518,60000,Group3
6069,10521,60000,Group3
6070,10522,61334,Group3
6071,10523,63713,Group3
6072,10524,75000,Group3
6073,10525,76400,Group3
6083,10542,57713,Group3
6087,10547,72639,Group3
6088,10548,71812,Group3
6092,10555,79124,Group3
6097,10562,54596,Group3
6102,10570,87167,Group3
6104,10575,90000,Group3
6107,10579,87167,Group3
6118,10594,100000,Group3
6120,10597,79124,Group3
6125,10604,72000,Group3
6126,10608,95000,Group3
6132,10617,52471,Group3
6138,10630,70000,Group3
6141,10636,79584,Group3
6142,10637,75295,Group3
6143,10639,91600,Group3
6145,10642,62400,Group3
6148,10647,58134,Group3
6150,10652,63299,Group3
6153,10656,56658,Group3
6157,10662,60134,Group3
6158,10663,65375,Group3
6160,10667,61249,Group3
6163,10671,56658,Group3
6165,10675,63299,Group3
6168,10682,72639,Group3
6174,10695,60397,Group3
6175,10701,65000,Group3
6182,10715,55928,Group3
6183,10716,65375,Group3
6186,10725,78475,Group3
6192,10740,54334,Group3
6194,10747,93000,Group3
6198,10756,79124,Group3
6199,10757,82000,Group3
6207,10774,70000,Group3
6211,10780,72986,Group3
6213,10786,56658,Group3
6216,10793,94430,Group3
6217,10794,74397,Group3
6219,10800,50847,Group3
6220,10803,100000,Group3
6233,10822,75000,Group3
6237,10831,99000,Group3
6240,10838,54572,Group3
6244,10845,100000,Group3
6247,10849,76271,Group3
6248,10851,75544,Group3
6249,10852,100000,Group3
6253,10862,90000,Group3
6260,10881,86405,Group3
6262,10883,67108,Group3
6271,10899,90000,Group3
6279,10912,65000,Group3
6281,10916,87315,Group3
6282,10917,85068,Group3
6285,10921,100000,Group3
6286,10922,71767,Group3
6296,10938,58111,Group3
6297,10939,61393,Group3
6298,10942,74124,Group3
6299,10943,70000,Group3
6301,10952,93008,Group3
6304,10958,63299,Group3
6307,10962,73567,Group3
6308,10964,71473,Group3
6310,10966,87167,Group3
6314,10972,55000,Group3
6318,10978,80530,Group3
6322,10984,57097,Group3
6323,10985,78450,Group3
6331,10994,80000,Group3
6342,11024,58885,Group3
6348,11032,78634,Group3
6350,11034,68215,Group3
6352,11038,77433,Group3
6353,11042,66464,Group3
6354,11047,83535,Group3
6372,11076,69007,Group3
6374,11078,94431,Group3
6389,11113,67108,Group3
6390,11114,90993,Group3
6392,11118,61017,Group3
6393,11119,75000,Group3
6396,11123,51002,Group3
6399,11132,69007,Group3
6406,11140,68215,Group3
6408,11144,73052,Group3
6409,11145,80721,Group3
6411,11148,97657,Group3
6415,11153,92330,Group3
6419,11158,73405,Group3
6422,11165,51843,Group3
6429,11176,90000,Group3
6446,11203,51696,Group3
6448,11206,60876,Group3
6450,11210,100000,Group3
6453,11216,73855,Group3
6459,11223,78087,Group3
6464,11229,54000,Group3
6472,11248,77310,Group3
6474,11251,52298,Group3
6476,11253,54572,Group3
6478,11257,79584,Group3
6480,11259,82240,Group3
6482,11261,65000,Group3
6483,11262,75757,Group3
6484,11263,70000,Group3
6485,11264,87036,Group3
6487,11266,76059,Group3
6489,11270,76503,Group3
6490,11273,71625,Group3
6492,11276,79903,Group3
6498,11284,52133,Group3
6508,11295,96246,Group3
6511,11303,54572,Group3
6512,11304,52298,Group3
6514,11308,85068,Group3
6515,11309,54572,Group3
6517,11311,51161,Group3
6519,11315,94364,Group3
6526,11328,79584,Group3
6528,11331,62651,Group3
6529,11333,87167,Group3
6537,11343,71917,Group3
6543,11353,60876,Group3
6545,11358,54572,Group3
6546,11359,54000,Group3
6550,11364,72639,Group3
6555,11378,56846,Group3
6559,11386,93206,Group3
6563,11392,51161,Group3
6570,11403,71579,Group3
6581,11422,67255,Group3
6593,11441,73000,Group3
6594,11442,58414,Group3
6595,11443,73899,Group3
6597,11447,93000,Group3
6601,11457,87167,Group3
6603,11459,82800,Group3
6605,11463,50400,Group3
6610,11469,77310,Group3
6620,11490,79584,Group3
6621,11491,80000,Group3
6622,11492,59119,Group3
6624,11495,62758,Group3
6629,11509,57982,Group3
6632,11513,72762,Group3
6633,11514,71699,Group3
6638,11528,72639,Group3
6639,11530,54003,Group3
6641,11534,51161,Group3
6645,11541,68215,Group3
6646,11542,64463,Group3
6648,11546,100000,Group3
6650,11549,77000,Group3
6658,11564,65673,Group3
6662,11575,54572,Group3
6666,11579,67108,Group3
6668,11587,66277,Group3
6672,11593,78692,Group3
6675,11598,50048,Group3
6676,11599,62300,Group3
6677,11600,97774,Group3
6680,11604,65375,Group3
6681,11605,80278,Group3
6690,11624,56846,Group3
6692,11630,100000,Group3
6696,11636,88679,Group3
6698,11642,87167,Group3
6699,11644,61739,Group3
6700,11646,68000,Group3
6706,11657,55709,Group3
6709,11665,73052,Group3
6712,11669,50024,Group3
6713,11670,51161,Group3
6720,11680,96637,Group3
6724,11686,66277,Group3
6727,11690,60975,Group3
6731,11701,93227,Group3
6735,11707,68215,Group3
6739,11713,68215,Group3
6741,11717,79903,Group3
6747,11728,68215,Group3
6750,11736,70000,Group3
6753,11741,69920,Group3
6756,11748,90953,Group3
6759,11754,62530,Group3
6760,11755,63440,Group3
6769,11768,50479,Group3
6770,11770,71625,Group3
6773,11776,76855,Group3
6781,11789,78207,Group3
6786,11795,62530,Group3
6791,11802,69893,Group3
6796,11810,63299,Group3
6798,11812,65941,Group3
6799,11814,71684,Group3
6801,11818,53022,Group3
6809,11832,62935,Group3
6810,11836,62457,Group3
6824,11865,85068,Group3
6826,11870,81858,Group3
6827,11872,62530,Group3
6828,11873,52634,Group3
6832,11883,95000,Group3
6833,11884,69715,Group3
6836,11890,68215,Group3
6839,11896,85268,Group3
6843,11902,76400,Group3
6847,11910,63161,Group3
6850,11913,86888,Group3
6854,11921,95173,Group3
6856,11924,67645,Group3
6859,11928,79584,Group3
6862,11937,51161,Group3
6864,11939,90638,Group3
6873,11960,83535,Group3
6879,11967,85268,Group3
6880,11968,50054,Group3
6888,11979,59973,Group3
6889,11980,65431,Group3
6891,11983,85000,Group3
6892,11985,80971,Group3
6893,11988,59649,Group3
6894,11991,58073,Group3
6899,11997,50024,Group3
6900,11999,81169,Group3
6903,12003,66277,Group3
6907,12007,90000,Group3
6912,12012,52607,Group3
6913,12013,88679,Group3
6915,12016,56141,Group3
6916,12017,75036,Group3
6927,12037,62530,Group3
6930,12040,68215,Group3
6944,12064,55022,Group3
6946,12066,65712,Group3
6947,12067,89896,Group3
6950,12070,54572,Group3
6952,12073,68215,Group3
6953,12075,52359,Group3
6955,12078,93892,Group3
6959,12086,81858,Group3
6962,12089,61393,Group3
6963,12091,65486,Group3
6972,12108,68055,Group3
6975,12114,81858,Group3
6976,12115,83099,Group3
6991,12144,57300,Group3
6992,12146,55038,Group3
6994,12152,68928,Group3
6997,12158,50479,Group3
6998,12159,51161,Group3
7007,12171,51843,Group3
7009,12173,64935,Group3
7010,12175,53435,Group3
7012,12177,51729,Group3
7016,12184,65941,Group3
7022,12196,98688,Group3
7024,12199,86000,Group3
7025,12200,79532,Group3
7026,12201,73899,Group3
7029,12212,84268,Group3
7032,12216,76997,Group3
7043,12233,68215,Group3
7045,12235,94430,Group3
7049,12241,77696,Group3
7055,12254,72600,Group3
7056,12255,74809,Group3
7063,12270,87542,Group3
7064,12271,50479,Group3
7066,12273,79584,Group3
7077,12291,90953,Group3
7083,12302,96637,Group3
7087,12310,54572,Group3
7096,12326,94697,Group3
7098,12331,68215,Group3
7102,12341,58665,Group3
7103,12349,75036,Group3
7106,12358,75036,Group3
7107,12362,80000,Group3
7112,12367,79584,Group3
7113,12368,89225,Group3
7117,12374,80721,Group3
7119,12376,90798,Group3
7120,12377,67640,Group3
7123,12390,62530,Group3
7125,12393,65486,Group3
7129,12397,55709,Group3
7130,12399,80000,Group3
7131,12400,73855,Group3
7134,12406,82747,Group3
7136,12408,75036,Group3
7140,12414,60822,Group3
7145,12422,72905,Group3
7151,12431,51161,Group3
7152,12433,56998,Group3
7156,12437,74404,Group3
7158,12440,74404,Group3
7159,12442,88859,Group3
7162,12445,52070,Group3
7175,12470,53686,Group3
7182,12483,59119,Group3
7183,12484,51843,Group3
7187,12493,90953,Group3
7194,12500,59802,Group3
7195,12502,56846,Group3
7199,12507,99986,Group3
7200,12508,57982,Group3
7205,12515,56846,Group3
7208,12519,81858,Group3
7212,12526,85309,Group3
7214,12529,68033,Group3
7215,12530,90000,Group3
7216,12535,59524,Group3
7218,12539,86160,Group3
7219,12543,68215,Group3
7221,12547,66277,Group3
7223,12549,73899,Group3
7224,12551,85268,Group3
7225,12554,51843,Group3
7228,12557,51161,Group3
7230,12559,70254,Group3
7240,12576,70178,Group3
7242,12579,59119,Group3
7243,12581,81169,Group3
7247,12588,81169,Group3
7252,12595,51937,Group3
7255,12601,96411,Group3
7259,12608,63667,Group3
7262,12612,73899,Group3
7267,12621,50274,Group3
7268,12622,59119,Group3
7269,12623,89925,Group3
7270,12626,97774,Group3
7271,12629,69579,Group3
7272,12631,67200,Group3
7273,12632,73899,Group3
7274,12633,54112,Group3
7278,12639,55038,Group3
7281,12642,50024,Group3
7282,12643,59483,Group3
7283,12645,60397,Group3
7287,12649,92090,Group3
7290,12652,69579,Group3
7298,12665,62833,Group3
7304,12676,75916,Group3
7307,12680,84288,Group3
7308,12681,75036,Group3
7311,12690,79584,Group3
7313,12692,97402,Group3
7316,12696,87167,Group3
7323,12706,82995,Group3
7324,12707,62758,Group3
7326,12709,70489,Group3
7327,12711,100000,Group3
7328,12712,68928,Group3
7332,12718,85268,Group3
7333,12719,69511,Group3
7335,12721,79238,Group3
7340,12728,66712,Group3
7341,12729,51696,Group3
7342,12735,73899,Group3
7347,12744,53890,Group3
7350,12747,100000,Group3
7352,12749,95501,Group3
7355,12760,51843,Group3
7356,12763,95750,Group3
7357,12764,55107,Group3
7358,12765,52298,Group3
7359,12766,79584,Group3
7361,12771,60000,Group3
7365,12779,80721,Group3
7368,12783,68215,Group3
7369,12784,90000,Group3
7371,12787,51843,Group3
7374,12792,61393,Group3
7376,12796,85268,Group3
7379,12800,65486,Group3
7381,12806,58986,Group3
7385,12815,92090,Group3
7388,12821,57661,Group3
7390,12824,70943,Group3
7394,12829,88679,Group3
7398,12840,83000,Group3
7401,12844,56448,Group3
7403,12847,81858,Group3
7405,12853,61393,Group3
7406,12854,71357,Group3
7412,12864,52525,Group3
7413,12865,98679,Group3
7421,12877,79584,Group3
